,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,Unnamed: 0,VOLUME,WORT STRENGTH
6037,8.3 g/l,,5.0%,,,Dessert wine & other fortified wines,Saké,metal screw cap,Japan,,80.0 Kcal / 100ml,,"party wine,sushi,oriental food,clams, mussels, scallops and oysters,metal screw cap",,Hana-Fuga Yuzu Sparkling Sake,bottle,27.96 EUR,Ozeki,694583,,,general selection,140.0 g/l,Amka,"medium sweet,yuzu fruit notes,lemon peel notes,light mandarin notes,fresh,refreshing,cloudy",0,0.25,
6038,5.2 g/l,,14.0%,,,Red wine,Smooth & fruity,,Macedonia,,80.0 Kcal / 100ml,"Merlot,Vranec","party wine,pasta and pizza,buffet,savoury snacks",,Millcreek Merlot bag-in-box,bag-in-box,9.66 EUR,St. Ursula,005375,,VKGP Strumicko-Radovisko,general selection,7.0 g/l,Social Wines,"medium-bodied,medium tannic,sweet cherry notes,ripe cranberry notes,light spice notes",0,3.0,
6039,4.8 g/l,,14.5%,,,Red wine,Luscious & jammy,natural cork,France,0.1 €,80.0 Kcal / 100ml,"Grenache,Syrah,Grenache Noir","mutton, lamb,beef,grilled food,casseroles",,Chapoutier Rasteau 2016,bottle,25.17 EUR,Chapoutier,412927,Rhône,AC Rasteau,general selection,1.0 g/l,Vinetum,"full-bodied,medium tannic,dark cherry notes,currant notes,black pepper notes,hint of olive,light oak notes",0,0.75,
6040,,,40.0%,,,Whisky,Light & grainy notes,metal screw cap,Scotland,0.1 €,220.0 Kcal / 100ml,,metal screw cap,,Haddington House,bottle,32.23 EUR,Andrew D. Thomson,001405,,,general selection,,Alpha Beverages,"light-bodied,golden-yellow,hint of smoke,fruity,grainy notes",0,0.35,
6041,4.8 g/l,,13.0%,,,Red wine,Luscious & jammy,natural cork,France,,80.0 Kcal / 100ml,Merlot,"grilled food,pork,strong cheeses,beef,organic",,La Marouette Prestige Organic Merlot 2017,bottle,17.6 EUR,Terroirs Vivants,947112,Languedoc-Roussillon,IGP Pays d'Oc,sale-to-order selection,6.0 g/l,LBI Finland,"full-bodied,medium tannic,cherry notes,ripe plum notes,vanilla notes",0,0.75,
6042,,,5.0%,"lager
(lager)",29.0 EBU,Beer,Lager,crown cap,Czech Republic,0.1 €,40.0 Kcal / 100ml,,"mild sausages,lean fish,pork,party wine",,Bohemia Regent Zimni Speciál,bottle,5.78 EUR,Bohemia Regent,753706,,,general selection,,Uniq Drinks Finland,"golden-yellow,medium-bodied,medium hopped,biscuity,light grainy notes,hint of butter,herbal notes",0,0.5,11.6 °P
6043,4.2 g/l,,12.5%,,,White wine,Crisp & fruity,synthetic cork,Italy,,70.0 Kcal / 100ml,Pinot Gris,"lean fish,aperitif,salads, vegetarian food,buffet,synthetic cork",,Lenotti Pinot Grigio 2015,bottle,16.4 EUR,Cantine Lenotti,945107,The Veneto,IGT Delle Venezie,sale-to-order selection,7.0 g/l,Vita Vinum,"dry,medium acidic,fruity",0,0.75,
6044,,,39.0%,,,Liqueur & bitter,Herbal and digestive bitters,metal screw cap,Italy,0.1 €,230.0 Kcal / 100ml,,metal screw cap,,Fernet-Branca,bottle,47.58 EUR,Fratelli Branca,107596,,,general selection,25.0 g/l,Interbrands Wines & Spirits,"brown,full-bodied,dry,sharp,rich bitter notes,peppermint notes,medicinal herb notes,spicy",0,0.5,
6045,3.8 g/l,,12.0%,,,White wine,Crisp & fruity,natural cork,Spain,,70.0 Kcal / 100ml,Xarel-lo,"mild cheeses,chicken, turkey,salads, vegetarian food,tapas and antipasti,organic,natural wine",,Alta Alella Tallarol 2017,bottle,31.32 EUR,Alta Alella,947227,Others,DO Alella,sale-to-order selection,2.0 g/l,Winestate,"dry,medium acidic,pear notes,citrus notes,apple notes",0,0.75,
6046,4.7 g/l,Lower-alcohol wine,8.5%,,,Rosé wine,Medium sweet,metal screw cap,European Union,0.1 €,60.0 Kcal / 100ml,,"party wine,savoury snacks,salads, vegetarian food,chicken, turkey,metal screw cap,organic,suitable for vegans",,Black Tower Pink Bubbly 2018,bottle,12.11 EUR,Reh Kendermann,950197,,,general selection,35.0 g/l,Interbrands Wines & Spirits,"medium sweet,medium acidic,raspberry candy notes,strawberry notes,light spice notes. spritzy.",0,0.75,
6047,6.6 g/l,Dessert wine,11.0%,,,Dessert wine & other fortified wines,Dessert wines,natural cork,Austria,0.1 €,140.0 Kcal / 100ml,"Welschriesling,Chardonnay,Traminer","chocolate desserts,meditation beverage,sweet desserts,berries and fruits",,Kracher Noble Reserve Trockenbeerenauslese,bottle,66.37 EUR,Kracher,567684,Burgenland,Prädikatswein Burgenland,general selection,190.0 g/l,Vindirekt Finland,"sweet,acidic,ripe pineapple notes,apricot notes,light raisin notes,honey notes,elegant",0,0.375,
6048,5.3 g/l,,12.5%,,,White wine,Crisp & fruity,synthetic cork,Italy,0.1 €,70.0 Kcal / 100ml,Ribolla Gialla,"mushrooms,lean fish,pasta and pizza,salads, vegetarian food,synthetic cork",,Dorigo Ribolla Gialla 2017,bottle,23.84 EUR,Dorigo,520577,Friuli - Venezia Giulia,DOC Friuli Colli Orientali,general selection,2.0 g/l,Tampereen Viinitukku,"dry,medium acidic,citrus notes,yellow apple notes,light peach notes,slightly spicy",0,0.75,
6049,6.0 g/l,,14.0%,,,White wine,Nuanced & structured,natural cork,South Africa,,80.0 Kcal / 100ml,Chardonnay,"chicken, turkey,game birds,pork,liver",,Creation Chardonnay 2016,bottle,33.31 EUR,Creation Wines,954157,Others,WO Walker Bay,sale-to-order selection,2.0 g/l,CISA Drinks,"dry,acidic,citrus notes,herbal notes,toasted,roasted,baked",0,0.75,
6050,5.2 g/l,,13.0%,,,Red wine,Luscious & jammy,natural cork,Greece,0.1 €,70.0 Kcal / 100ml,Agiorgitiko,"mutton, lamb,mild cheeses,beef,pork",,Tsantali Nemea Réserve 2014,bottle,17.17 EUR,Evangelos Tsantalis,451447,,PDO Nemea,general selection,,Amka,"full-bodied,tannic,blackberry notes,currant notes,blueberry notes,light mocha notes,slightly spicy",0,0.75,
6051,7.1 g/l,,12.5%,,,White wine,Nuanced & structured,metal screw cap,Austria,0.1 €,70.0 Kcal / 100ml,Riesling,"lean fish,fatty fish,seafood,blini,metal screw cap,local eco certificate",,Rabl Steinterassen Riesling 2017,bottle,18.52 EUR,Weingut Rabl,949237,Niederösterreich,DAC Kamptal,general selection,3.0 g/l,Servaali,"dry,acidic,lime notes,green apple notes,light yellow plum notes,mineral notes,minerally,herbal notes",0,0.75,
