,Unnamed: 0,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,VOLUME,WORT STRENGTH
8226,0,6.9 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,0.1 €,70.0 Kcal / 100ml,"Pinot Noir,Pinot Meunier,Chardonnay","salads, vegetarian food,tapas and antipasti,spicy and meaty sausages,lean fish",Sold in gift packaging. Sold in gift packaging,Veuve Clicquot Champagne Brut,bottle,66.48 EUR,Veuve Clicquot Ponsardin,8601,Champagne,AC Champagne,general selection,11.0 g/l,Moet Hennessy Suomi,"brut,acidic,lemon notes,yellow apple notes,almond notes,hint of nut,mineral notes,minerally,toasted,roasted,baked",0.75,
8227,0,5.4 g/l,,11.5%,,,Sparkling wine & champagne,Smooth & light,natural cork,Italy,,70.0 Kcal / 100ml,Glera,"aperitif,meditation beverage,seafood,clams, mussels, scallops and oysters",,Toffoli Prosecco Brut 2016,bottle,29.65 EUR,Toffoli,950807,,DOCG,sale-to-order selection,11.0 g/l,Citera Oy/Finn-Glera,"dry,medium acidic,apple notes,flowery,citrus notes",0.75,
8228,0,7.0 g/l,,13.5%,,,White wine,Generous & toasty,metal screw cap,Chile,0.1 €,80.0 Kcal / 100ml,"Riesling,Chardonnay,Viognier","chicken, turkey,grilled food,pork,fatty fish,metal screw cap",,Anakena Ona Special Reserve Riesling Chardonnay Viognier 2014,bottle,21.39 EUR,Accolade Wines,510647,San Antonio,DO Valle de Leyda,general selection,2.0 g/l,Viinitie,"dry,acidic,apricot notes,green apple notes,ripe citrus notes,hint of herb,light oak notes,good body,well-balanced",0.75,
8229,0,6.0 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,France,,70.0 Kcal / 100ml,,"aperitif,lean fish,clams, mussels, scallops and oysters,party wine",Sold in gift packaging,Mumm Cordon Rouge Magnum Champagne Brut,bottle,66.33 EUR,Mumm,903898,Champagne,AC Champagne,sale-to-order selection,9.0 g/l,Pernod Ricard Finland Oy,"brut,medium acidic,citrus notes,aromatic",1.5,
8230,0,6.0 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,France,,70.0 Kcal / 100ml,,"aperitif,lean fish,clams, mussels, scallops and oysters,party wine",Sold in gift packaging,Mumm Cordon Rouge Magnum Champagne Brut,bottle,66.33 EUR,Mumm,903898,Champagne,AC Champagne,sale-to-order selection,9.0 g/l,Pernod Ricard Finland Oy,"brut,medium acidic,citrus notes,aromatic",1.5,
8231,0,5.6 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,plastic closure,Spain,0.1 €,80.0 Kcal / 100ml,"Macabeo,Xarel-lo,Parellada","hot food,oriental food,party wine,salads, vegetarian food",,Freixenet Carta Nevada Cava Semi Seco,bottle,17.75 EUR,Freixenet,8965,,DO Cava,general selection,35.0 g/l,Hartwall,"medium sweet,medium acidic,ripe lemon notes,peach notes,dandelion notes,lovage notes",0.2,
8232,0,4.7 g/l,,14.0%,,,Red wine,Luscious & jammy,metal screw cap,Spain,0.1 €,80.0 Kcal / 100ml,"Tempranillo,Garnacha Tinta,Graciano","beef,grilled food,mutton, lamb,spicy and meaty sausages,metal screw cap,suitable for vegans",,Marqués de Cáceres Crianza 2015,bottle,18.52 EUR,Unión Viti-Vinícola,6781,La Rioja,DOCa Rioja,general selection,,Hartwall,"medium-bodied,tannic,sour cherry,blackberry notes,spicy,light oak notes",0.75,
8233,0,4.7 g/l,,12.0%,,,Red wine,Smooth & fruity,synthetic cork,Spain,0.1 €,70.0 Kcal / 100ml,"Bobal,Monastrell","chicken, turkey,fatty fish,oriental food,pasta and pizza,synthetic cork",,El Copero 2017,bottle,9.84 EUR,Clasicos del Mediterraneo,6366,Valencia,DOP Valencia,general selection,10.0 g/l,Quantum Beverages,"medium-bodied,low tannins,sweetish,strawberry notes,raspberry notes,hint of vanilla",0.75,
8234,0,4.6 g/l,,14.0%,,,Red wine,Nuanced & developed,natural cork,France,0.1 €,80.0 Kcal / 100ml,"Grenache,Syrah","mutton, lamb,beef,game,strong cheeses",,Rhone to the Bone Rouge 2016,bottle,19.85 EUR,Ravoire et Fils,946887,Rhône,AOP Côtes du Rhône,sale-to-order selection,1.0 g/l,Interbrands Wines & Spirits,"full-bodied,medium tannic,blackcurrant notes,spicy",0.75,
8235,0,,,6.0%,"ale
(ipa)",43.0 EBU,Beer,Ale,crown cap,England,0.1 €,50.0 Kcal / 100ml,,"fatty fish,mild sausages,pork,oriental food",,Oakham Ales Green Devil IPA,bottle,9.34 EUR,Oakham Ales,757306,,,general selection,,Craft & Cask,"golden-yellow,full-bodied,strongly hopped,ripe fruit notes,malt biscuit notes,light grapefruit notes,herbal notes,balanced",0.5,13.9 °P
8236,0,,,40.0%,,,Whisky,Light & grainy notes,plastic closure,Canada,0.1 €,220.0 Kcal / 100ml,,,,Canadian Club,bottle,36.99 EUR,Canadian Club,113357,,,general selection,,Edrington Finland,"medium-bodied,amber-yellow,tropical fruit notes,light sour orange notes,vanilla notes,spicy",0.7,
8237,0,,,6.0%,"ale
(ale)",58.0 EBU,Beer,Ale,crown cap,Finland,0.1 €,50.0 Kcal / 100ml,,"savoury snacks,pork,chicken, turkey,party wine",,Ruosniemen Pikkupomo Amber Ale,bottle,11.61 EUR,Ruosniemen Panimo,754144,,,general selection,,Ruosniemen Panimo,"amber-brown,medium-bodied,strongly hopped,malty,fruit pie notes,ripe citrus notes,spicy",0.33,14.2 °P
8238,0,5.3 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,Italy,0.1 €,70.0 Kcal / 100ml,"Pinot Grigio,Verduzzo","aperitif,tapas and antipasti,salads, vegetarian food,party wine",,Masi Moxxé Brut 2017,bottle,18.52 EUR,Masi Agricola,943577,,Spumante Metodo Charmat Brut,general selection,10.0 g/l,Winestate,"brut,medium acidic,apple notes,peach notes,light grapefruit notes,hint of almond,herbal notes",0.75,
8239,0,,Mild alcoholic beverage,20.0%,,,Liqueur & bitter,,metal screw cap,Holland,0.1 €,280.0 Kcal / 100ml,,metal screw cap,,De Kuyper Crème de Cafe,bottle,29.78 EUR,De Kuyper,932405,,,sale-to-order selection,400.0 g/l,Alpha Beverages,"dark brown,full-bodied,coffee notes",0.5,
8240,0,7.0 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,France,0.1 €,70.0 Kcal / 100ml,"Chardonnay,Pinot Noir,Pinot Meunier","aperitif,chicken, turkey,fatty fish,game birds",,Boizel Rosé Champagne Brut,bottle,58.37 EUR,Champagne Boizel,949464,Champagne,AC Champagne,general selection,9.0 g/l,Nordalco,"brut,acidic,redcurrant notes,hint of citrus,toasted,roasted,baked,rosé",0.375,
8241,0,6.3 g/l,,12.0%,,,Sparkling wine & champagne,Mellow & sweet,natural cork,France,,80.0 Kcal / 100ml,"Chardonnay,Pinot Noir,Meunier","party wine,berries and fruits,oriental food,chocolate desserts",,Moët & Chandon Ice Impérial Rosé Champagne Demi-Sec,bottle,79.93 EUR,Moët & Chandon,943467,Champagne,AC Champagne,general selection,35.0 g/l,Moet Hennessy Suomi,"medium sweet,acidic,ripe citrus notes,honey melon notes,raspberry notes,light marzipan notes,rosé",0.75,
8242,0,6.1 g/l,,13.0%,,,Red wine,Nuanced & developed,natural cork,South Africa,0.1 €,70.0 Kcal / 100ml,Cabernet Sauvignon,"mutton, lamb,strong cheeses,spicy and meaty sausages,casseroles",,Allesverloren Cabernet Sauvignon 2015,bottle,22.52 EUR,Allesverloren Wine Estate,447367,Coastal Region,WO Swartland,general selection,,Nordalco,"full-bodied,tannic,sour cherry,cranberry notes,hint of chocolate,hint of fig,allspice notes",0.75,
8243,0,5.0 g/l,,13.0%,,,White wine,Smooth & light,natural cork,France,0.1 €,80.0 Kcal / 100ml,Pinot Blanc,"party wine,salads, vegetarian food,seafood,lean fish",,Bestheim Pinot Blanc Classic 2016,bottle,15.85 EUR,Bestheim,945557,Alsace,AOC Alsace,sale-to-order selection,4.0 g/l,CISA Drinks,"dry,medium acidic,pineapple notes,citrus notes,peach notes",0.75,
8244,0,4.2 g/l,,12.5%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,,70.0 Kcal / 100ml,,"aperitif,seafood,lean fish,sushi",,Legras & Haas Chouilly Grand Cru Blanc de Blancs Champagne Brut,bottle,57.2 EUR,Legras & Haas,584737,Champagne,AC Champagne,general selection,9.0 g/l,Muru Wines,"brut,acidic,ripe citrus notes,apricot notes,hint of herb,mineral notes,minerally,light brioche notes",0.75,
8245,0,4.6 g/l,,13.0%,,,Red wine,Luscious & jammy,natural cork,Argentina,0.1 €,70.0 Kcal / 100ml,"Cabernet Sauvignon,Cabernet Franc,Petit Verdot","beef,grilled food,game,strong cheeses",,Catena Cabernet Sauvignon 2015,bottle,21.17 EUR,Catena Zapata,438717,Mendoza,Mendoza,general selection,1.0 g/l,Uniq Drinks Finland,"full-bodied,tannic,blackcurrant notes,boysenberry notes,black olive notes,black pepper notes,hint of leather",0.75,
